City,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
Atlanta,62.38709677419355,51.00666666666667,43.92903225806452,37.645161290322584,47.471428571428575,54.858064516129026,60.06333333333334,66.52580645161291,75.99333333333334,79.20645161290322,77.70322580645161,73.01333333333334,62.564516129032256,51.736666666666665,54.12903225806452,43.60322580645161,43.6448275862069,55.41290322580645,60.86,70.25806451612904,74.83,78.51935483870967,80.52580645161291,76.21666666666667,61.961290322580645,46.77,57.141935483870974,46.406451612903226,41.51428571428572,58.141935483870974,60.95666666666667,74.25806451612904,77.20666666666666,78.34193548387097,79.84193548387097,75.76333333333334,64.8,48.943333333333335,43.50967741935484,53.13548387096775,49.175,48.54516129032258,63.89666666666667,69.40645161290323,75.56,78.91935483870968,83.23548387096774,71.95,65.83870967741936,51.39,40.58709677419355,40.11612903225806,45.81428571428571,54.461290322580645,60.52333333333333,73.22258064516129,77.10666666666665,79.92903225806452,79.87741935483871,75.02333333333333
Boston,52.63225806451613,42.60333333333333,37.303225806451614,29.916129032258063,28.87857142857143,39.02903225806452,50.763333333333335,57.44193548387097,67.62333333333333,72.29354838709678,72.7709677419355,66.76,55.31612903225806,43.78333333333333,41.32258064516129,22.929032258064513,23.982758620689655,38.74516129032258,47.669999999999995,58.696774193548386,69.20666666666666,76.33870967741936,73.61290322580645,68.43333333333334,53.067741935483866,44.25333333333333,39.59032258064516,30.70967741935484,22.760714285714283,43.25483870967742,48.18333333333333,62.17741935483871,68.80333333333333,76.5516129032258,73.83225806451614,67.18666666666667,55.21612903225807,45.623333333333335,33.50322580645161,32.63870967741936,34.05357142857143,34.15806451612904,48.376666666666665,56.02903225806452,68.52666666666667,73.92903225806452,74.62903225806451,64.39,53.39354838709678,43.53,36.303225806451614,30.538709677419355,28.285714285714285,36.97741935483871,45.99333333333333,59.68709677419355,66.57333333333334,78.50322580645161,74.49032258064516,64.70333333333333
Chicago,56.55806451612903,47.41,35.66451612903226,27.838709677419356,29.692857142857143,38.07741935483871,47.333333333333336,55.37419354838709,69.41000000000001,76.35161290322581,78.0741935483871,66.27666666666667,56.83870967741935,42.46666666666667,37.8258064516129,13.883870967741936,15.710344827586209,38.15483870967742,49.56333333333334,58.122580645161285,73.44666666666667,79.39354838709677,79.89354838709677,71.48333333333333,55.8258064516129,40.65333333333333,37.222580645161294,24.467741935483872,21.75,39.50967741935484,48.806666666666665,62.483870967741936,72.15333333333334,76.60645161290323,76.96129032258065,68.96666666666667,59.222580645161294,44.21666666666667,28.041935483870965,32.116129032258065,27.24642857142857,27.51935483870968,46.28,60.05806451612903,70.96666666666667,82.99354838709678,80.13870967741936,69.46000000000001,54.938709677419354,42.55333333333333,31.19032258064516,29.203225806451613,22.00714285714286,43.041935483870965,47.059999999999995,67.24516129032257,74.74,79.66774193548386,80.10645161290323,70.56
Dallas,69.46129032258065,57.36333333333334,46.75806451612903,44.70645161290323,50.94642857142857,56.88387096774194,63.66,74.03225806451613,83.01666666666667,89.02903225806452,82.30322580645162,77.18666666666667,68.55806451612904,58.266666666666666,52.10967741935484,37.193548387096776,47.293103448275865,61.10645161290322,66.69333333333333,70.0516129032258,76.83666666666666,88.01935483870967,91.71290322580644,78.81,76.30322580645162,56.75,57.49354838709677,43.34516129032258,50.964285714285715,61.39677419354839,67.81666666666666,81.01935483870967,83.43666666666667,87.94516129032259,88.97096774193548,84.59333333333333,74.86451612903227,56.17999999999999,49.42580645161291,53.458064516129035,51.896428571428565,58.86774193548387,68.43333333333334,73.40967741935484,82.87666666666668,87.34516129032258,89.8258064516129,82.25666666666666,72.52258064516128,56.32,48.31612903225806,44.92580645161291,52.46071428571429,61.55483870967742,64.53333333333333,73.47419354838709,79.90666666666667,83.64838709677419,84.38064516129033,79.87333333333332
Denver,52.92580645161291,37.42333333333333,24.470967741935485,24.951612903225808,26.34642857142857,34.33548387096774,38.126666666666665,56.63870967741936,61.486666666666665,72.95806451612903,72.52258064516128,64.39,47.47096774193548,41.29,26.225806451612904,15.529032258064516,28.03103448275862,36.854838709677416,49.12,52.92258064516129,65.77666666666667,77.7741935483871,73.7741935483871,61.93333333333333,54.37419354838709,36.836666666666666,26.76451612903226,24.083870967741937,32.45,35.358064516129026,48.0,60.28064516129032,64.67666666666666,73.3225806451613,74.38387096774194,66.57333333333334,52.251612903225805,36.86,25.6,30.183870967741935,30.803571428571427,36.961290322580645,43.93,54.935483870967744,65.09,76.37741935483871,72.5741935483871,62.25333333333333,49.94193548387097,35.88666666666666,28.44193548387097,29.44193548387097,32.43571428571429,38.516129032258064,39.733333333333334,53.961290322580645,67.05,73.76451612903226,71.74193548387096,58.86666666666667
Houston,73.14516129032258,61.64,52.73225806451613,50.270967741935486,57.76428571428572,64.2483870967742,68.09,75.87741935483871,83.55,85.52258064516128,84.58387096774193,80.52333333333333,71.76774193548388,63.75666666666667,60.55483870967742,46.66129032258065,54.2,65.87741935483871,68.71666666666667,74.87096774193549,81.03,84.91935483870968,87.02258064516128,79.72333333333333,78.01612903225806,60.723333333333336,68.47096774193548,51.567741935483866,53.78214285714286,67.31612903225808,70.45666666666666,79.99354838709678,82.71000000000001,84.35806451612903,85.35806451612903,84.48,77.59677419354838,60.02333333333333,57.461290322580645,62.329032258064515,58.528571428571425,62.012903225806454,71.17666666666668,76.34516129032258,81.8,85.08064516129032,84.88064516129033,82.43333333333334,76.24193548387096,63.95666666666667,54.54838709677419,49.75806451612903,58.79642857142857,65.6741935483871,70.27666666666667,76.28064516129032,80.72333333333333,80.97096774193548,81.66451612903225,80.83666666666666
Los Angeles,69.22258064516129,64.62666666666667,50.093548387096774,53.170967741935485,50.06071428571429,56.36451612903225,68.60666666666665,64.52580645161291,66.41,75.06129032258065,80.83548387096775,74.53,69.26774193548388,68.53666666666666,52.064516129032256,45.90967741935484,57.49655172413794,59.12903225806452,69.17333333333333,66.55483870967741,69.57,74.85161290322581,79.57096774193548,72.24333333333334,66.55483870967741,62.59,47.70645161290323,51.17741935483871,60.160714285714285,56.167741935483875,61.263333333333335,65.3,71.89333333333335,73.19999999999999,77.37741935483871,79.31666666666666,74.63548387096773,66.29333333333334,55.809677419354834,52.49354838709677,55.971428571428575,63.45483870967742,61.17333333333333,62.148387096774194,72.00333333333333,77.25161290322582,75.76774193548388,78.45666666666666,67.88064516129033,61.05333333333333,56.34193548387096,54.777419354838706,55.721428571428575,61.60967741935484,58.01,58.880645161290325,65.28333333333333,73.41935483870968,75.48064516129033,80.73666666666666
Miami,79.53548387096774,75.70666666666666,68.74516129032257,64.60322580645162,73.28928571428571,74.75806451612904,76.0,79.18387096774192,81.44,83.29677419354839,83.10645161290323,82.11999999999999,78.1032258064516,73.04333333333334,76.64516129032258,74.82903225806452,74.11379310344829,75.87096774193549,75.39,79.20645161290322,80.26333333333334,81.66774193548386,82.58387096774193,80.88666666666667,77.84193548387097,70.22333333333333,74.96451612903226,72.92258064516129,68.96428571428571,75.92258064516129,75.95666666666666,80.0516129032258,81.51,82.19032258064516,82.65483870967742,81.83333333333333,78.48709677419355,73.25,68.86451612903227,74.58064516129032,71.225,72.00645161290322,76.03,79.28387096774195,80.91666666666667,81.75806451612904,82.6516129032258,81.74666666666667,78.5,76.02,68.80967741935484,64.7290322580645,71.13571428571429,71.21290322580644,76.01333333333334,78.52258064516128,81.53333333333333,82.48709677419355,82.52258064516128,82.46333333333334
Minneapolis,51.099999999999994,42.82666666666667,25.516129032258064,19.570967741935487,18.839285714285715,32.08064516129032,44.593333333333334,55.693548387096776,65.94,72.90322580645162,77.98709677419355,60.74333333333333,50.03548387096774,34.84,26.961290322580645,-1.3064516129032258,8.324137931034484,29.938709677419357,49.623333333333335,60.34838709677419,72.12333333333332,76.63548387096773,81.6741935483871,66.46666666666667,51.777419354838706,35.39333333333333,21.748387096774195,15.370967741935484,19.735714285714288,36.23548387096774,50.04666666666667,60.70645161290323,70.75666666666666,76.26451612903226,75.56129032258065,65.84666666666666,53.58709677419355,37.836666666666666,17.41290322580645,19.138709677419353,16.821428571428573,19.983870967741936,42.49,59.84516129032258,67.35333333333332,81.78064516129032,73.18709677419355,67.44333333333333,48.358064516129026,36.236666666666665,20.583870967741937,19.112903225806452,12.80714285714286,41.13870967741936,47.343333333333334,66.45161290322581,73.16000000000001,76.83225806451614,76.75483870967743,66.53666666666666
New York,54.49677419354839,45.2,39.538709677419355,31.9741935483871,30.510714285714283,42.55483870967742,53.47666666666667,58.68387096774194,69.69,76.16774193548386,75.29354838709678,68.74,56.9483870967742,45.163333333333334,44.50967741935484,27.45483870967742,25.63103448275862,42.309677419354834,51.24333333333333,62.932258064516134,71.62333333333332,77.5,75.36451612903227,72.36,54.86129032258064,44.63333333333333,43.725806451612904,34.13225806451613,24.97142857142857,46.4741935483871,51.276666666666664,64.04516129032258,71.81666666666666,78.60967741935484,77.39354838709677,71.17,57.306451612903224,46.14333333333333,34.145161290322584,36.31612903225806,37.86785714285714,37.064516129032256,52.00666666666667,58.68387096774194,69.12333333333332,76.23225806451612,78.08064516129032,66.46666666666667,55.96451612903226,44.72666666666667,37.693548387096776,33.00967741935484,30.5,40.141935483870974,49.31333333333334,65.7290322580645,69.36666666666666,81.2741935483871,77.20967741935483,67.01666666666667
