Source,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
3 Bedroom,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,673680.4711259719,675022.1769457343,675746.1276144366,676911.7073863097,677507.2519299343,679217.5390029759,681455.6616169579,682776.8005368997,684117.9095937832,684268.2843315718,684015.2007148728,683061.4439727265,683179.0359637764,684781.6906362213,687074.4916145414,689207.2785203258,691367.784701476,693883.1459134042,696054.8157398837,697079.8096328549,696859.7973672777,696866.2796076898,697064.2769426996,698404.5321014902,699840.7923752097,702853.0166043405,705908.3415223234,708384.3829083868,711483.0672297017,715398.1315275043,720035.9142923354,724685.9315669377,728066.0840137542,730931.8610664258,732851.571581141,736324.2463944294,742209.4684268391,749591.4378065659,755694.683462219,759554.1978745192,761980.2572702704,765450.8407926749,769974.7428964507,775255.0147387771,781702.7876321328,784878.3587863961,784532.4903748338,778403.4182030183,772722.0054140402,768559.482155744,766696.6310870216,765019.7229592487,761780.259312892,759108.5170629676,759130.9448535354,761862.1414377512,765592.7297002078,767644.0281831337,767511.9577688522,765406.2965354574
3 Bedroom,12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,664451.3288262804,671765.1530935564,675597.8742457413,672638.1890392,664487.9839469702,654515.9287979022,647173.512062844,642724.6463293725,640103.1168457425,641551.0954630676,647531.6983243865,656434.4359643437,665433.467285403,673726.2362553847,681588.7013333059,686311.1888875632,688512.8803598149,689324.1558845938,690025.9182989644,688153.54533818,683470.0880468573,683054.3841580859,689579.7972729224,703937.9125991844,720507.8849097489,738420.8176206927,755217.36860896,764793.1887146431,769861.0238908197,771747.5141701797,779299.9957834077,790572.0046020715,804465.2330830335,819055.5961670252,830221.4598108021,838807.893192905,845123.907139965,852167.3176539683,860497.5871297714,870653.4109519842,882275.4771394077,895379.4631072654,906408.7704897582,916123.2494362236,921189.5851996868,924129.2953792296,921398.1250600568,916004.1286341196,909339.6116974144,905218.0779370436,902517.7383149802,893821.586759265,880877.4966720477,867307.7637874298,861547.0075094976,862618.7152240155,869101.2920137215,880836.0707340902,896379.7646864053,912077.8317550533
3 Bedroom,39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,166614.93782631142,167633.56299433042,168663.89502223625,169700.36000817022,170715.6746608341,171629.34780608062,172288.2317540068,172792.5137071654,173195.2590111723,173571.84611074356,173945.05858692047,174410.1363500067,175074.39418306178,175959.86737219174,176901.4857487321,177802.1671925128,178572.0140782698,179248.07975286208,179727.42895440882,179818.8257506605,179890.35206899964,180280.8399816308,181233.05669448533,182637.2992679698,184423.6272947653,186692.4921149785,188963.50307878177,191295.9868344325,193622.93503253337,196303.9554317123,199133.9795922789,202296.95628698464,205675.7523503739,208300.5088590195,209769.99117987347,210413.39304114663,211531.595615261,213539.1095067752,216094.79705708168,220024.58327963963,224803.4918457088,230338.15228117272,235266.2616863384,239487.93588850665,242947.78073032468,245365.41724704104,246637.2122475037,247133.77776260648,247380.8851500519,247534.8581701809,247050.84847756723,245855.47550815967,244523.62700214653,243638.9877549012,243415.6128041218,243765.2219095595,244641.5291965693,245540.5028248928,246463.25905127305,246952.22802063744
3 Bedroom,17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,237808.92163098053,238196.1270453342,238723.13666819947,239298.6039287582,240457.4122354725,241774.31031755253,242993.7101738456,243278.0479617169,243429.33994289293,243157.7206886571,243076.1778879368,242567.25909609767,242594.0499914933,242974.6617243109,243816.3669872839,245949.0997514572,248598.0425808556,251697.4568355569,253290.447862845,253677.85301795285,252892.1017077881,251900.727008906,251738.8739557093,253300.7160876782,256260.0676910594,260208.55234231413,264118.4754567354,268104.92691602715,272596.4017736674,277460.36715916643,281857.3899310114,285093.34790131776,287430.58463501744,288883.73677505634,289073.89094366966,287875.2443524014,286507.7005722414,285774.88795703906,286291.82657786604,288326.7402006839,292271.7179418292,297568.7104159285,302464.368965183,305001.3275363488,305812.0312749755,304582.23981215147,302310.91802567354,298840.1708551553,296053.9122909506,294440.51601833786,293768.12217134755,292738.91121810867,292516.73084579624,293104.54899437045,294998.8269189555,296595.86026933487,298284.44209177775,300133.5338445377,302238.36229822395,303749.8397372441
3 Bedroom,40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,243278.466172214,244445.85830123755,245511.68519921147,246612.49231393897,247706.28000101112,248589.3168807689,249225.3169070424,249558.77341998264,250040.80358085028,250547.1502713866,251400.8204227744,252456.18980203176,253990.66617049585,255916.19775719653,258089.6271617758,260754.84646874512,263731.25079423067,267087.2582070259,269954.2778267222,271837.4557083593,273051.0384094045,274592.7970740165,277251.1415873237,281484.2166443208,286598.6369046331,292373.8557368554,298176.56497418165,303987.41197564,310207.6812668345,317510.32635277143,325731.7133204208,335281.15171888843,345489.7722540516,355538.369370603,364373.2459196489,371653.54609910125,378170.8740980824,384489.40170381736,390703.8213804982,397614.6210816353,405606.7610317674,415353.3297124472,425862.9669221506,436075.6476648534,444321.82892893534,448235.9199935577,446653.821614333,440179.5139086984,432241.8110333102,424035.1019923228,416404.4153901646,409205.5853736437,403641.8133759101,400363.2019108133,399149.714090044,399522.15174894826,401147.3735502926,403817.784639052,407025.2628901918,410054.8325492896
3 Bedroom,18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,268448.10337764,270617.21083911334,272178.0801686615,273368.3189465049,274583.13296459074,275713.9599896656,276675.9058705465,276897.77195132774,277115.28692043934,277194.41579759255,277487.4565113514,277487.57124724647,277493.7493480283,277700.97509582527,278252.4752126191,279483.60256833315,280856.60432780586,282455.3066736862,283709.08024881134,284199.5426134357,284134.1601917127,284079.42395234475,284877.8604516772,286420.24484900053,288484.08630052686,291380.11089300894,294812.9283074262,298372.78506126755,301977.7775654287,306232.085948694,311321.23543327977,317738.90871156816,325422.4137548098,333556.1213802586,340924.34199124697,346866.1085704368,352223.9439458912,357896.8129282673,363528.6867837072,370400.950250152,378655.8536704656,388980.09816443175,399832.3616174708,409871.9048533948,417971.1518817565,422473.8047548991,422670.3987198104,418697.0619105808,412863.0107676509,406075.1872509462,399606.3325797352,393266.2358443265,388038.83328968176,384277.87515202974,382206.3340803704,381443.0042937443,381970.4245657021,383497.33984409575,385991.3759632463,388421.2021017076
3 Bedroom,38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,191469.81722645648,192434.082677492,193471.3720016304,194775.90554225468,195921.67530659112,196902.53593954988,197419.4052376328,197560.23483828048,197535.1164251076,197526.718363734,197830.03220772173,198272.3162183896,199035.1277982148,200000.81463989776,201223.0593228072,203238.40699853312,205517.67520038155,207699.7709954836,208656.824429526,208448.507221854,207823.5160270953,207814.3645457183,208909.89308294017,210962.65769911057,213569.95155465507,216805.80673161265,220227.37839782136,224207.99453754164,228778.55153499497,233741.3554154007,238379.7240884664,242414.0160497123,245998.9212966424,248197.9591964739,248802.40830560657,248541.27277423663,248859.05889924115,250500.86232299407,253039.78358344105,258597.8451736669,266349.9828078128,275454.1551859694,283413.9870087695,289720.4021512424,294557.8714246621,297111.28700520395,297519.01633434073,296661.0987860756,295750.7662504952,294886.7167678636,293450.6464540759,291502.6523453423,289732.13257628685,289038.48142341274,288982.38048645057,289593.2401754786,290215.1332953937,290825.9588097281,291631.2566715614,292108.2906937022
3 Bedroom,20330,17,San Francisco,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1526988.822250476,1530264.7804432884,1527969.8809904752,1520236.24629948,1505492.761717735,1490758.6014815436,1482476.5539789312,1479609.249058416,1482953.5381285143,1488397.3471818038,1496314.2413603177,1503096.8885029766,1509140.8996388493,1515855.1236509152,1521987.867415751,1527605.9305766218,1532317.1428913996,1541371.5243569503,1549091.5970041696,1548263.479609826,1535902.4818293534,1525647.4176757347,1526700.675015175,1536316.8698066778,1544933.465803204,1552656.073660611,1558449.8428583192,1561803.3098202234,1563285.2903763882,1567241.1101369914,1576416.2244393465,1591948.434884927,1610685.8425864114,1628854.6695544012,1640044.4616887104,1644854.7405041966,1649160.5011661763,1659135.6905215525,1671111.968400338,1687513.2410268884,1711490.1533734838,1742069.9709880147,1766947.9509922678,1778715.6164644945,1774395.0222254612,1754013.69489348,1717657.4220116427,1673765.6680397068,1637484.9034134904,1609705.1082818185,1588864.2720451162,1563413.3337506251,1541398.5334838834,1523435.1148190869,1517516.1812290486,1514403.3461279965,1514028.6675603448,1514069.4740375548,1516603.4054585558,1518455.1441356428
3 Bedroom,12700,20,Miami,city,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,366739.4371469047,368361.0371780309,370216.4026154532,371803.4160180601,373632.75436784414,375332.8234295615,376669.0678678315,376643.1387731244,376273.7219386261,375937.11717790295,376257.6466041671,377009.80519694136,378565.8032554395,380948.33269062336,383734.2963055,386848.1893384793,390300.6687932136,393606.15593232185,396088.0665845223,395888.3434327219,394457.5875573924,393047.1994093296,394228.5907307431,397714.9180345932,402644.2080338094,408522.4689001203,414500.5902493925,421093.98885425547,427592.8231385557,434637.5092814057,441527.1902365473,449135.65160332527,456821.92807697103,463400.2651231096,468176.2285374487,471156.7157206428,474127.8434622039,478323.5516102314,484016.9981148094,494523.4500020177,508294.5539359639,525225.9014986119,540733.5658359403,553871.5884446562,565068.9889137613,573453.1023544886,578933.6896344811,580429.8474946093,581053.646392567,581902.1209240927,584024.6467791464,585360.0223196604,586406.1272949616,588497.179450953,592100.2910882649,596742.504935512,602349.8053993707,608388.8706354351,614797.6950891187,620686.0796434893
3 Bedroom,11093,23,Denver,city,CO,CO,"Denver-Aurora-Lakewood, CO",Denver County,439624.81774070073,440767.14747196034,442079.1810034479,443404.81900116015,445113.0294053841,447236.8896891931,449387.7438708824,450526.83675305406,451017.41976724967,450929.4612040205,451248.01260300825,451684.6764927679,452609.48417780193,454039.6517249008,455518.1698506608,457812.5280607065,461136.7966785631,465665.493723867,470267.4513876567,472259.4716497048,471809.6503236454,470743.84987106593,471810.7790675376,475999.3276762517,481817.4662094794,488117.42167402944,493565.4060952317,498127.8455229203,504004.31034336734,512407.9581296914,523091.4097236626,534394.5447493371,544579.9897467868,551667.3854585886,554880.7106545084,555423.7916760441,556379.2728815132,559149.8096811152,563657.4262617565,571212.552047195,582575.8829945923,597200.8768043813,611675.0260289306,623200.2959642336,629541.281698751,629201.1988400487,623120.6012916028,614579.9339719347,607855.6345808613,603480.1606306377,600235.8581265807,596669.4622916818,593371.5909074548,590974.0909087948,590124.6584732002,590622.1305023135,592244.9238861306,594114.124171432,595832.991587142,597209.2349618669
