RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,555760.0829289443,553970.6558178318,551850.5335623242,552769.2360772023,553754.844574432,556383.6524883398,558549.4313443806,561521.8213095845,563894.4852480226,566217.8632535273,566101.8679847289,565044.6329313127,562577.7130978209,561100.757602083,560435.6466482164,561267.8568634283,561823.2510470295,561928.6760986204,560625.5897444594,559667.849556889,558053.752141547,555372.2936849738,550134.7836605198,544003.4027754419,538868.8280923278,536152.8543584025,535547.9777507153,535368.6093082558,535371.8370678324,535585.9597167728,535682.0889767766,536691.0515610072,537445.5765217716,538998.5975337579,540621.2710839038,542762.4611412451,546479.6855053742,551202.2682400765,555608.7801159577,558645.3209679672,561340.3159256751,564564.1288905962,567580.191501324,569336.4643185892,572246.8091189071,574858.5188592902,576860.6145898419,575617.5447910482,573915.9866873055,572408.6784648588,571455.329182596,572840.9552266983,573455.7236101486,573284.0802150512,571559.7776080876,570712.0391182359,571310.7771551897,571357.9777874605,570371.560397213,568967.3659408051
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,514219.08485208714,521089.12075187446,525244.8923391841,524025.0978735884,517584.55461539305,508524.2357662977,500399.3653590477,495096.166238948,491546.94124526624,492187.2929924659,496071.8400282234,501959.7275330323,507165.68485324504,511517.35125877854,516319.5649109966,519542.1265513787,520962.39532715146,520306.0753554436,519120.3510401198,516620.7529190891,512978.32752857526,511741.3669427396,514728.53756939527,521604.2153048288,529222.2650972939,537379.6407963139,544841.6264786782,547743.7340817255,546677.9432445318,543155.1055780181,542361.3864546594,543582.9059912461,546829.7730014917,552986.234584462,560166.8737818993,566794.8353624297,572383.5044260571,578164.535301153,585043.4088607848,589062.0590120074,589930.3714944635,589025.8296843971,588046.5350122795,589357.2450537403,590515.4843988694,593210.2019908889,593899.6371741514,594369.3473000131,594212.2554743948,595385.52146472,596377.7971937289,593991.2697058249,588096.4533280886,580708.083189607,575759.9049039833,573432.9359989386,573523.9636922003,576263.0953487426,581282.7514454641,587382.1461691922
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,98022.18142045884,98198.31715031974,98682.61950122332,99384.9662268337,100105.88965720106,100631.84734362816,100775.45718453312,100950.25409929572,101074.07063819414,101080.84046204825,100967.19756517456,100912.66078721022,101219.21057626411,101794.92018929328,102436.93055039074,103040.43579098897,103587.35921976696,104099.49230113988,104536.79283184382,104650.5207940352,104525.90290487476,104190.63623948843,104162.94890526588,104419.80645113467,104974.67846294076,105778.18078634096,106487.93624985278,106965.04408206214,107185.38326978462,107549.51726551498,108174.17893583536,109110.70958826768,110254.7533854173,111239.68015663896,111844.80108189168,112160.78892652829,112712.6670574469,113488.20708449506,114474.50243491078,115843.8578586112,117206.49239255406,118768.20765792322,120187.46423402424,121729.49000757564,123262.68354807566,124295.93064757792,125049.66544183972,125498.33856365675,126167.59067324654,126994.94434031012,127708.97590654866,128269.33578459168,128657.79367775976,128942.55113460384,129119.52528269716,129177.92019358564,129259.0611098621,129396.55659010125,129714.97772896643,129954.67036231456
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,219703.251357508,219457.5029918882,219080.55342071256,219042.35021037303,219639.94432214196,220016.71568717915,220045.71051375408,219728.5325398756,219303.53584698433,218721.6670215119,218023.02752296728,217044.07616377124,216738.98921642732,216806.14140467264,217506.67424132425,218174.66230427552,219015.6311210364,219742.5239327035,219948.52391963569,219591.44079892672,218940.20922998924,218334.6003747055,218407.6481725342,219033.19806989084,219777.63184648368,220539.41339286373,221242.00032474025,222010.51442488536,222659.2552900543,223361.24654211104,223893.79132599608,224041.84091084695,224055.78577058457,224547.04306485297,225018.68846418348,224852.32578654384,224502.20940706253,224537.65094217265,225476.6471890835,226402.5651852216,227970.92936664436,229949.754830898,232401.27071319753,233240.7185926264,233158.24747551023,232037.0273373218,231185.34464106968,230426.3021084796,229960.865758774,230166.4665761144,230407.30442685855,230471.82497502453,230316.31338254895,230707.90538452557,232008.2699690067,233984.42866238777,236050.4392041948,237911.18881496243,239834.41601789137,241718.4683598675
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,85385.74785954949,85743.38100371494,86202.60713965684,86482.17586660021,86450.93964331689,86322.72922913324,86303.87810693687,86633.50543953995,86936.87529577066,87171.40278339692,87394.9084080308,87720.256447212,88415.21109544502,89310.33517204825,90236.86077517888,92143.45154809888,93895.0589414618,95307.218073086,95496.34118024982,95387.36900349712,95192.09598987778,95037.6553522474,95269.03981364408,96108.391819102,97277.23453713756,98685.8633323325,99998.80331305104,100918.92887937548,101772.57503117928,102962.86245013868,104600.8305708818,106393.65865672025,108090.6435508402,109624.02983013984,110788.5655509698,111622.06638963523,112301.59606870684,113349.53156493936,114757.67893104652,116459.41074900648,118095.63002636592,119766.00257004394,121674.84771699976,123500.64771787023,125379.9285692752,126653.60977506386,127388.38217914604,127134.1979977028,127094.86849072525,127409.36755672464,128334.38609616172,128505.00994361391,128436.19948024245,128083.62579128145,128379.50792967196,128757.26516213342,129226.34418658128,129263.53487687248,128935.07405022254,128263.02387467846
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,255806.09822292192,256923.7107546254,258217.80799965543,259264.91290409703,259988.4267478761,260003.7102375848,259924.66738472108,260091.75819650217,260241.6247002331,260525.09339598817,260472.7439751976,260291.33570793035,259887.35768142657,260331.94727493016,261455.9241064039,263260.2965590621,265202.57415115886,267055.6073803525,268464.90183404885,269035.2013901028,268926.6705716143,268463.08299442497,268230.09569449077,268428.362686493,268949.01709043287,270130.8027246322,271627.00522888283,272744.6240090272,273025.46180192434,273715.6293231227,275125.43793661316,276719.7565692601,277860.93856303743,279953.96253565344,284692.2842411487,289265.4818404565,293134.04505276337,295310.65021003975,297494.90522614395,297451.26769266225,295304.02540614206,292108.0018863587,290956.82957565965,291144.9868626907,292539.42801663536,292398.72662169393,291311.72683628503,289077.15030682,287648.01288246334,286503.46320315724,284862.1795007673,282529.4847785715,279602.35550241225,278278.88901748933,277900.0442598187,278704.49341497786,279242.3998316505,279639.6509892256,280270.63029699214,281354.8368065147
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,137509.39816215922,138778.36579398662,140092.12541857033,141604.97418619003,142901.32881641327,143774.84081572926,144340.30429015044,144687.93481159335,145097.33532355397,145433.3841063344,145933.52155559516,146505.6178984273,147427.51165075772,148753.3832031103,150283.20552209197,152853.7230263057,156213.16196194923,160153.86533935904,163407.4695222878,165587.2239745988,166180.6151032668,165910.77059651283,165586.4763402604,166379.17480385452,168034.96469278474,170455.85944829203,173254.64757835105,175848.16373568986,178033.1056299213,180717.58599422293,184354.7693641008,189272.5657033615,195284.32773286375,201630.1522420412,207611.12781379008,212100.6710115675,216046.9129505017,219862.78115628823,224116.0182684379,229033.1924153361,235146.6459666101,242446.30604010055,250295.12233845005,257760.4547048577,264601.6587250044,268934.38962827943,270417.8332342887,268885.1830881313,266511.8865935512,263869.0813980555,261144.84732189067,257561.58695829575,254005.5491378114,251172.7506559968,249899.32557443285,249209.7610461996,249341.57743381217,250280.7401004159,252348.30695995816,254736.59895496085
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,132744.08437005468,134166.18978104318,135375.5933384772,136238.01769994324,136731.46009407393,136588.62406944085,136563.7073969233,136487.29302555797,136799.27681299552,136812.28929168143,136642.91967833354,136265.26323203053,135886.0333808825,135743.57206979915,135758.57417578602,137476.89618087848,140400.73453561837,143736.5434048327,146024.22196351478,146764.0136183129,145639.78566707807,143024.16102410495,140219.00719877472,138517.55627301123,137712.0859655595,137721.68641726498,138227.17492114563,138767.0339120685,139093.44414260492,139766.0662069256,140918.42524998437,142977.62614661056,146102.56386524308,150458.7798672353,155390.7647548522,159978.9653812776,164081.577043679,168025.44553243282,171769.40848895078,175534.70106758736,179497.3204347669,184497.52627896055,190473.174272103,196548.05555719472,202678.22985079652,207466.22024481292,210263.48475133977,210224.90428414888,208376.80435670365,205732.81728546636,202650.68146848737,199234.4811912559,196313.10588299195,194118.3753094651,192769.17730895907,191924.8546769962,191867.1166040866,192642.44003230857,193972.84396005687,195122.24542863233
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,365733.6041512472,366334.5272539608,366866.04328664625,368906.8916762499,372376.64112632256,376276.94877739734,378490.4723768627,379233.0124466546,379482.97012051713,379141.6795682577,378718.910468627,378045.6856592315,378397.75588162855,379625.45016888995,381620.54010873503,383115.9292951999,384208.8169928588,385095.5587009885,386127.77826685365,386503.2252485345,384325.1494264461,380414.2582962843,376109.71491355053,374017.5454680204,374064.6467768973,376385.6344883244,380093.5816937859,383680.21357510315,385976.0253934174,388112.60092332494,391342.4097739796,396556.19580328633,403344.86226794217,410481.63951663626,416645.44987767,420861.5024028009,425212.3936414749,430959.57715423015,438852.09707503155,448099.05770594254,457920.5048839957,468636.5251721638,479606.4301578246,490270.73354936973,498861.8829011941,503535.89319719136,503545.9632401113,500808.2892455873,498237.28443182335,496462.73993848334,494877.33078260935,493032.1625771032,491144.8249788922,489946.06956598785,490099.74821714737,492150.27294917987,496460.5051424774,501434.8084548505,506855.63210999634,512022.27827349305
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,122621.9253709715,123078.48662299158,123810.371975812,124773.91611886,125549.51012295554,125852.0126635069,125568.0069593144,125219.8329312786,125042.70224503455,125290.79646144265,125514.03708500236,125663.89591655378,125788.38517208902,126190.93626481814,126838.2082465639,127915.94592553376,129050.92676602791,129880.38746292944,130056.98992999812,129598.91649599152,128922.46808749127,128492.0111708134,128595.95622858056,129117.83172699876,129836.45837431756,130899.51814643556,132043.90292591034,132999.5626720765,133821.6518707193,134809.4870690961,136054.28630654575,137313.37502220907,138416.2585621158,139194.0781648877,139685.55493084528,140112.60339249624,140796.89318808456,141827.77211133405,143243.50998768813,145622.47803871552,148678.19203562647,152241.91238589352,156033.03554465904,159937.49299997312,163517.87321742563,165818.5103966983,166793.866851036,166800.33704108186,167054.2203436581,167614.96990630656,168454.4477532123,168881.94370327296,169001.7601098914,169001.10044680847,168927.50293982148,168837.47083621452,169136.26266471975,169841.05222513646,171138.8717980068,172165.27568612987
